src_ip,dst_ip,src_port,dst_port,src_mac,dst_mac,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,sumDuration,minDuration,maxDuration,meanDuration,stdDuration,flows,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.0.159,35.186.224.25,38248,443,8c:c6:81:20:72:c2,04:95:e6:33:0c:d0,6,2022-07-18 16:56:47,14751.195907592773,8948.427017504162,135.58222753794183,67.79111376897092,67.79111376897092,1,1,66,66,66.0,66.0,66.0,0.0,66.0,66.0,66.0,0.0,66,66,66.0,0.0,0.0,20,20,20,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,66.0,501,292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014751195907592773,0.014751195907592773,0.014751195907592773,0,0,1,66.0,66.0,0,1,1,66,66
192.168.0.159,170.114.14.75,37254,443,8c:c6:81:20:72:c2,04:95:e6:33:0c:d0,6,2022-07-18 16:56:52,71934.93843078613,3669.982984054594,41.70435209152948,27.802901394352986,13.901450697176493,2,1,167,97,101.0,66.0,83.5,17.5,97.0,97.0,97.0,0.0,101,66,88.0,15.641824275533422,244.66666666666666,40,20,20,1,35967.46921539307,71845.29304504395,89.6453857421875,35877.82382965088,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.5,88.0,501,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07193493843078613,0.07193493843078613,0.07193493843078613,0,0,1,83.5,97.0,0,2,1,167,97
192.168.0.159,140.82.114.25,54192,443,8c:c6:81:20:72:c2,04:95:e6:33:0c:d0,6,2022-07-18 16:56:38,14806532.144546509,26.069574984320024,0.3376887951336791,0.13507551805347162,0.20261327708020746,2,3,162,224,96.0,66.0,81.0,15.0,92.0,66.0,74.66666666666667,12.256517540566824,96,66,77.2,13.775340286178052,189.76,40,60,20,1,3701633.036136627,14666246.175765991,278.472900390625,6330486.384438359,0,0.0,0.0,0.0,0.0,14735534.42955017,14666246.175765991,69288.25378417969,7367767.214775085,7298478.960990906,0,0,0,0,1,0,0,0,0,0,0,1.5,77.2,501,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.806532144546509,14.806532144546509,14.806532144546509,0,0,1,81.0,74.66666666666667,0,2,3,162,224
75.2.53.94,192.168.0.159,443,36974,04:95:e6:33:0c:d0,8c:c6:81:20:72:c2,6,2022-07-18 16:56:53,18632.65037536621,34616.6534017479,429.3538406418344,214.6769203209172,214.6769203209172,4,4,336,309,138.0,66.0,84.0,31.176914536239792,111.0,66.0,77.25,19.48557158514987,138,66,80.625,26.215155444894847,687.234375,80,80,20,1,2661.8071964808873,17712.831497192383,15.020370483398438,6147.122662411127,18632.65037536621,17727.85186767578,329.01763916015625,6210.883458455403,8144.349535192172,299.4537353515625,117.06352233886719,67.94929504394531,99.81791178385417,22.559935920519788,0,0,0,0,1,0,0,0,0,0,0,1.0,80.625,413,501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01863265037536621,0.01863265037536621,0.01863265037536621,0,0,1,84.0,77.25,0,4,4,336,309
192.168.0.173,224.0.0.251,5353,5353,2a:ec:7a:4a:4e:bc,8c:c6:81:20:72:c2,17,2022-07-18 16:56:57,0.0,0,0,0,0,1,0,136,0,136.0,136.0,136.0,0.0,0.0,0.0,0.0,0.0,136,136,136.0,0.0,0.0,8,0,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,136.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,136.0,0.0,0,1,0,136,0
192.168.0.159,35.186.224.47,38284,443,8c:c6:81:20:72:c2,04:95:e6:33:0c:d0,6,2022-07-18 16:56:58,52736.520767211914,6257.523158508633,75.8487655576804,37.9243827788402,37.9243827788402,2,2,167,163,101.0,66.0,83.5,17.5,97.0,66.0,81.5,15.5,101,66,82.5,16.560495161679196,274.25,40,40,20,1,17578.840255737305,33652.06718444824,89.6453857421875,13738.334764607227,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,82.5,501,267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052736520767211914,0.052736520767211914,0.052736520767211914,0,0,1,83.5,81.5,0,2,2,167,163
75.2.53.94,192.168.0.159,443,36972,04:95:e6:33:0c:d0,8c:c6:81:20:72:c2,6,2022-07-18 16:57:00,267851.3526916504,3460.8748124082067,44.80096844541368,22.40048422270684,22.40048422270684,6,6,477,450,116.0,66.0,79.5,19.864121760937063,120.0,66.0,75.0,20.12461179749811,120,66,77.25,20.120988212974698,404.8541666666667,120,120,20,2,24347.261949018997,227173.8052368164,-31.47125244140625,64596.82420745044,267851.3526916504,247677.56462097168,0.0,53570.27053833008,97353.49373705513,247316.1220550537,246986.86599731445,20.742416381835938,49463.22441101074,98761.83386509767,0,0,0,0,1,0,0,0,0,0,0,1.0,77.25,435,501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2678513526916504,0.2678513526916504,0.2678513526916504,0,0,1,79.5,75.0,0,6,6,477,450
192.168.0.159,192.168.0.255,57621,57621,8c:c6:81:20:72:c2,ff:ff:ff:ff:ff:ff,17,2022-07-18 16:57:02,0.0,0,0,0,0,1,0,86,0,86.0,86.0,86.0,0.0,0.0,0.0,0.0,0.0,86,86,86.0,0.0,0.0,8,0,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,86.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,86.0,0.0,0,1,0,86,0
192.168.0.159,185.199.111.133,54650,443,8c:c6:81:20:72:c2,04:95:e6:33:0c:d0,6,2022-07-18 16:57:04,34281.96907043457,3850.4206024104765,58.339706097128435,29.169853048564217,29.169853048564217,1,1,66,66,66.0,66.0,66.0,0.0,66.0,66.0,66.0,0.0,66,66,66.0,0.0,0.0,20,20,20,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,66.0,501,287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03428196907043457,0.03428196907043457,0.03428196907043457,0,0,1,66.0,66.0,0,1,1,66,66
192.168.0.159,35.170.134.110,33570,443,8c:c6:81:20:72:c2,04:95:e6:33:0c:d0,6,2022-07-18 16:57:08,627569.1986083984,903.4860239433237,12.747598221422558,6.373799110711279,6.373799110711279,4,4,240,327,66.0,54.0,60.0,6.0,105.0,66.0,81.75,16.618889854620253,105,54,70.875,16.563797119018332,274.359375,80,80,20,0,89637.58604867118,487066.74575805664,-106.09626770019531,165085.6250024429,627569.1986083984,557811.4986419678,56.02836608886719,209189.73286946616,248147.10769102394,557126.522064209,487066.74575805664,0.2384185791015625,185708.84068806967,215003.12644494267,0,0,0,0,1,0,0,0,0,0,0,1.0,70.875,501,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6275691986083984,0.6275691986083984,0.6275691986083984,0,0,1,60.0,81.75,0,4,4,240,327
